rep,row,col,gen,yield
Rep1,1,1,G20,3.77
Rep1,1,2,G04,3.21
Rep1,1,3,G33,4.55
Rep1,1,4,G28,4.09
Rep1,1,5,G07,5.05
Rep1,1,6,G12,4.19
Rep1,1,7,G30,3.27
Rep1,2,1,G10,3.44
Rep1,2,2,G14,4.3
Rep1,2,3,G16,NA
Rep1,2,4,G21,3.86
Rep1,2,5,G31,3.26
Rep1,2,6,G06,4.3
Rep1,2,7,G18,3.72
Rep1,3,1,G22,3.49
Rep1,3,2,G11,4.2
Rep1,3,3,G19,4.77
Rep1,3,4,G26,2.56
Rep1,3,5,G29,2.87
Rep1,3,6,G15,1.93
Rep1,3,7,G23,2.26
Rep1,4,1,G24,3.62
Rep1,4,2,G25,4.52
Rep1,4,3,G05,4.23
Rep1,4,4,G32,3.76
Rep1,4,5,G02,3.61
Rep1,4,6,G27,3.62
Rep1,4,7,G08,4.01
Rep1,5,1,G17,3.81
Rep1,5,2,G09,3.75
Rep1,5,3,G03,4.81
Rep1,5,4,G34,3.69
Rep1,5,5,G13,4.61
Rep1,5,6,G35,2.68
Rep1,5,7,G01,4.15
Rep2,1,8,G31,4.7
Rep2,1,9,G19,7.37
Rep2,1,10,G25,5.03
Rep2,1,11,G34,5.33
Rep2,1,12,G20,5.73
Rep2,1,13,G08,4.7
Rep2,1,14,G06,5.63
Rep2,2,8,G24,4.07
Rep2,2,9,G21,5.66
Rep2,2,10,G12,4.98
Rep2,2,11,G04,4.04
Rep2,2,12,G23,4.27
Rep2,2,13,G13,4.1
Rep2,2,14,G03,4.75
Rep2,3,8,G11,5.66
Rep2,3,9,G07,6.43
Rep2,3,10,G26,4.59
Rep2,3,11,G05,5.2
Rep2,3,12,G35,4.83
Rep2,3,13,G10,4.7
Rep2,3,14,G30,4.23
Rep2,4,8,G33,5.71
Rep2,4,9,G09,6.13
Rep2,4,10,G17,4.63
Rep2,4,11,G18,5.48
Rep2,4,12,G32,5.47
Rep2,4,13,G15,NA
Rep2,4,14,G02,4.16
Rep2,5,8,G01,5.22
Rep2,5,9,G27,6.16
Rep2,5,10,G16,4.2
Rep2,5,11,G29,4.66
Rep2,5,12,G14,5.54
Rep2,5,13,G28,3.81
Rep2,5,14,G22,3.6
